<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,10:00:00,113204,115298,107903,108872,60
01.09.2020,10:01:00,111805,115141,108049,111986,96
01.09.2020,10:02:00,108353,115135,107950,115135,29
01.09.2020,10:03:00,112826,115279,107905,108002,90
01.09.2020,10:04:00,110027,115298,107970,109899,65
01.09.2020,10:05:00,112343,115188,107910,109155,95
01.09.2020,10:06:00,111363,115036,107935,111811,14
01.09.2020,10:07:00,110292,115138,107945,109193,16
01.09.2020,10:08:00,115165,115251,107910,108096,82
01.09.2020,10:09:00,113782,115269,108073,115269,52
01.09.2020,10:10:00,108871,115252,107925,109021,21
01.09.2020,10:11:00,115069,115156,107970,110796,95
01.09.2020,10:12:00,110759,115161,107901,113120,94
01.09.2020,10:13:00,111323,115138,107937,108180,81
01.09.2020,10:14:00,114062,115209,107971,114315,31
01.09.2020,10:15:00,109734,115271,107913,108596,13
01.09.2020,10:16:00,109247,115285,108078,110686,84
01.09.2020,10:17:00,114441,115010,107941,110904,98
01.09.2020,10:18:00,113994,115172,107905,113991,36
01.09.2020,10:19:00,114575,115173,107935,110516,53
01.09.2020,10:20:00,114496,115231,107989,115231,13
01.09.2020,10:21:00,108973,115223,107921,110299,56
01.09.2020,10:22:00,112306,115219,107983,114859,4
01.09.2020,10:23:00,111260,114989,108008,112837,61
01.09.2020,10:24:00,111304,115126,108152,108795,85
01.09.2020,10:25:00,108677,115034,108029,111571,17
01.09.2020,10:26:00,111783,115245,107971,112127,47
01.09.2020,10:27:00,110666,115196,107976,110864,25
01.09.2020,10:28:00,109862,115231,107914,114570,67
01.09.2020,10:29:00,113862,115228,107973,111960,78
01.09.2020,10:30:00,110937,115290,108087,114594,78
01.09.2020,10:31:00,114516,115143,107902,112979,54
01.09.2020,10:32:00,114949,114963,108112,109345,66
01.09.2020,10:33:00,113642,114806,108040,114348,95
01.09.2020,10:34:00,114172,115187,107933,112508,41
01.09.2020,10:35:00,113827,114786,108204,113788,73
01.09.2020,10:36:00,114752,115178,108020,111581,21
01.09.2020,10:37:00,108252,115236,108024,113284,92
01.09.2020,10:38:00,110094,114948,107963,114684,34
01.09.2020,10:39:00,109904,115287,107980,114781,52
01.09.2020,10:40:00,113948,115206,108031,111401,14
01.09.2020,10:41:00,110538,115204,108096,113161,18
01.09.2020,10:42:00,110475,115231,107912,114247,19
01.09.2020,10:43:00,112225,115008,107905,112293,80
01.09.2020,10:44:00,109116,115148,108151,112202,24
01.09.2020,10:45:00,114457,115280,107920,113760,32
01.09.2020,10:46:00,109333,115143,107916,111776,86
01.09.2020,10:47:00,112334,115094,107929,114998,41
01.09.2020,10:48:00,111036,115283,108141,111286,81
01.09.2020,10:49:00,108567,115267,107909,111669,95
01.09.2020,10:50:00,110952,114992,108190,114685,22
01.09.2020,10:51:00,110687,114991,108010,112937,63
01.09.2020,10:52:00,114162,115292,108239,114792,17
01.09.2020,10:53:00,115266,115266,108118,108770,7
01.09.2020,10:54:00,112383,115158,107969,114608,17
01.09.2020,10:55:00,110674,114796,108486,110811,81
01.09.2020,10:56:00,109139,114981,107947,107947,53
01.09.2020,10:57:00,108417,115280,107929,114039,37
01.09.2020,10:58:00,114559,115294,108246,110645,85
01.09.2020,10:59:00,114783,115123,108041,114596,23
01.09.2020,11:00:00,111780,115266,108070,112535,90
01.09.2020,11:01:00,112927,114962,108015,109471,50
01.09.2020,11:02:00,113219,115270,107995,111896,47
01.09.2020,11:03:00,114652,115177,108242,115104,94
01.09.2020,11:04:00,109274,114794,108194,109335,46
01.09.2020,11:05:00,109735,115077,107901,114637,18
01.09.2020,11:06:00,109067,115258,107902,114655,15
01.09.2020,11:07:00,108790,115177,108056,108131,10
01.09.2020,11:08:00,112369,115267,107929,110169,57
01.09.2020,11:09:00,111500,115274,107907,114298,35
01.09.2020,11:10:00,112338,115179,107904,108669,38
01.09.2020,11:11:00,114388,115260,107921,114909,67
01.09.2020,11:12:00,108225,115058,108147,114327,27
01.09.2020,11:13:00,109657,115278,107996,111444,77
01.09.2020,11:14:00,115079,115272,107965,112102,27
01.09.2020,11:15:00,110394,115280,108191,112226,98
01.09.2020,11:16:00,108026,115193,108026,111770,97
01.09.2020,11:17:00,112643,115227,108005,114393,88
01.09.2020,11:18:00,114419,115081,107927,110544,41
